num_ligne,Année,UAI,Etablissement,Code région,Region,Académie,Code departement,Département,Code commune,Commune,Secteur,Présents - Toutes séries,Taux de réussite - Toutes séries,Valeur ajoutée du taux de réussite - Toutes séries,Taux d'accès 2nde-bac,Valeur ajoutée du taux d'acces 2nde-bac,Taux de mentions - Toutes séries,Valeur ajoutée du taux de mentions - Toutes séries,Présents - L,Présents - ES,Présents - S,Présents - Gnle,Présents - STI2D,Présents - STD2A,Présents - STMG,Présents - STL,Présents - ST2S,Présents - S2TMD,Présents - STHR,Taux de réussite - L,Taux de réussite - ES,Taux de réussite - S,Taux de réussite - Gnle,Taux de réussite - STI2D,Taux de réussite - STD2A,Taux de réussite - STMG,Taux de réussite - STL,Taux de réussite - ST2S,Taux de réussite - S2TMD,Taux de réussite - STHR,Valeur ajoutée du taux de réussite - L,Valeur ajoutée du taux de réussite - ES,Valeur ajoutée du taux de réussite - S,Valeur ajoutée du taux de réussite - Gnle,Valeur ajoutée du taux de réussite - STI2D,Valeur ajoutée du taux de réussite - STD2A,Valeur ajoutée du taux de réussite - STMG,Valeur ajoutée du taux de réussite - STL,Valeur ajoutée du taux de réussite - ST2S,Valeur ajoutée du taux de réussite - S2TMD,Valeur ajoutée du taux de réussite - STHR,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'accès 1ere-bac,Taux d'accès terminale-bac,Valeur ajoutée du taux d'accès 1ere-bac,Valeur ajoutée du taux d'accès terminale-bac,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - Gnle,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - S2TMD,Taux de mentions - STHR,Valeur ajoutée du taux de mentions - L,Valeur ajoutée du taux de mentions - ES,Valeur ajoutée du taux de mentions - S,Valeur ajoutée du taux de mentions - Gnle,Valeur ajoutée du taux de mentions - STI2D,Valeur ajoutée du taux de mentions - STD2A,Valeur ajoutée du taux de mentions - STMG,Valeur ajoutée du taux de mentions - STL,Valeur ajoutée du taux de mentions - ST2S,Valeur ajoutée du taux de mentions - S2TMD,Valeur ajoutée du taux de mentions - STHR,Nombre de mentions TB avec félicitations - G,Nombre de mentions TB sans félicitations - G,Nombre de mentions B - G,Nombre de mentions AB - G,Nombre de mentions TB avec félicitations - T,Nombre de mentions TB sans félicitations - T,Nombre de mentions B - T,Nombre de mentions AB - T
652,2024,0352533N,LYCEE FRANCOIS RENE DE CHATEAUBRIAND,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35085,COMBOURG,public,173,97,1,85,-1,59,-2,,,,140,,,33,,,,,,,,98,,,91,,,,,,,,1,,,-1,,,,,215,207,216,93,96,-1,-1,,,,69,,,15,,,,,,,,2,,,-19,,,,,,10,32,55,,,,5
1007,2024,0560098C,LYCEE NOTRE DAME DU VOEU,53,BRETAGNE,RENNES,56,MORBIHAN,56083,HENNEBONT,privé sous contrat,160,98,0,94,6,63,-5,,,,125,,,35,,,,,,,,98,,,94,,,,,,,,0,,,-1,,,,,164,119,139,97,98,2,0,,,,72,,,31,,,,,,,,-1,,,-16,,,,,3,16,28,43,,,4,7
428,2024,0290007A,LYCEE LA PEROUSE-KERICHEN,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,213,98,0,87,-2,73,-1,,,,213,,,,,,,,,,,98,,,,,,,,,,,0,,,,,,,,255,204,202,95,98,-1,0,,,,73,,,,,,,,,,,-1,,,,,,,,2,22,55,76,,,,
461,2024,0290336H,LYCEE ESTRAN CHARLES DE FOUCAULD,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,privé sous contrat,263,100,1,92,3,77,0,,,,199,,,51,13,,,,,,,100,,,100,92,,,,,,,1,,,2,-5,,,,312,245,283,98,100,3,1,,,,80,,,61,85,,,,,,,-1,,,1,14,,,,1,21,71,67,,2,15,25
464,2024,0291654R,LYCEE ST JOSEPH,53,BRETAGNE,RENNES,29,FINISTERE,29039,CONCARNEAU,privé sous contrat,124,98,0,82,-5,65,-3,,,,95,,,,,29,,,,,,99,,,,,97,,,,,,1,,,,,0,,,106,108,106,94,99,-1,1,,,,66,,,,,62,,,,,,-6,,,,,8,,,1,11,27,24,,,4,14
336,2024,0220057T,LYCEE ERNEST RENAN,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,public,292,95,-2,84,-2,52,-12,,,,150,,,99,,43,,,,,,99,,,90,,93,,,,,,0,,,-5,,-3,,,167,266,295,92,96,-2,-1,,,,70,,,29,,44,,,,,,-8,,,-18,,-10,,,2,11,40,52,,1,14,33
343,2024,0220102S,LYCEE SAINT JOSEPH - BOSSUET,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22113,LANNION,privé sous contrat,205,99,1,82,-6,76,4,,,,152,,,39,,,,14,,,,99,,,95,,,,100,,,,0,,,0,,,,1,201,192,171,92,98,-3,0,,,,82,,,49,,,,93,,,,4,,,1,,,,25,1,21,49,53,,,2,30
633,2024,0350777E,LYCEE ST MARTIN,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,448,100,1,90,-1,81,-6,,,,387,,,,,61,,,,,,100,,,,,97,,,,,,0,,,,,-2,,,468,468,445,96,100,-1,1,,,,84,,,,,61,,,,,,-5,,,,,-11,,,2,82,132,108,,,15,22
637,2024,0350791V,LYCEE MARCEL CALLO (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35236,REDON,privé sous contrat,106,98,1,89,3,75,8,,,,41,65,,,,,,,,,,98,98,,,,,,,,,,-1,2,,,,,,,78,109,104,94,98,0,1,,,,88,66,,,,,,,,,,11,5,,,,,,,2,3,17,14,,2,9,32
641,2024,0350801F,LYCEE JEAN PAUL II,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35278,SAINT GREGOIRE,privé sous contrat,220,100,1,95,4,95,9,,,,220,,,,,,,,,,,100,,,,,,,,,,,1,,,,,,,,272,199,215,98,100,1,1,,,,95,,,,,,,,,,,9,,,,,,,,5,37,97,69,,,,
644,2024,0351930H,LYCEE LA PROVIDENCE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35184,MONTAUBAN DE BRETAGNE,privé sous contrat,119,100,2,89,1,78,6,,,,96,23,,,,,,,,,,100,100,,,,,,,,,,2,4,,,,,,,130,110,119,97,99,2,1,,,,78,78,,,,,,,,,,4,14,,,,,,,,12,29,34,,2,6,10
1008,2024,0560101F,LYCEE ST LOUIS,53,BRETAGNE,RENNES,56,MORBIHAN,56121,LORIENT,privé sous contrat,335,96,-2,85,-3,63,-5,,,,223,,,61,7,44,,,,,,100,,,93,100,84,,,,,,2,,,-4,,-12,,,267,310,315,94,96,-1,-2,,,,73,,,36,57,50,,,,,,-2,,,-16,,-4,,,3,23,56,81,,1,8,39
435,2024,0290023T,LYCEE JEAN MOULIN,53,BRETAGNE,RENNES,29,FINISTERE,29026,CHATEAULIN,public,161,98,0,83,-5,70,1,,,,130,,,31,,,,,,,,99,,,94,,,,,,,,1,,,0,,,,,177,161,158,94,97,-1,-1,,,,71,,,68,,,,,,,,-4,,,23,,,,,2,8,37,45,,,7,14
619,2024,0350011X,LYCEE JEAN GUEHENNO,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35115,FOUGERES,public,305,97,1,87,1,58,-2,,,,208,33,,64,,,,,,,,97,97,,95,,,,,,,,-1,3,,3,,,,,311,295,321,93,98,-1,1,,,,66,55,,34,,,,,,,,-2,3,,-6,,,,,3,24,45,66,,,10,30
630,2024,0350769W,LYCEE JEAN-BAPTISTE LE TAILLANDIER (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35115,FOUGERES,privé sous contrat,252,100,2,94,6,73,2,,,,193,,,34,,25,,,,,,99,,,100,,100,,,,,,0,,,4,,3,,,269,251,224,98,99,3,1,,,,78,,,38,,76,,,,,,2,,,-9,,16,,,1,22,53,75,,2,6,24
1002,2024,0560025Y,LYCEE DUPUY DE LOME,53,BRETAGNE,RENNES,56,MORBIHAN,56121,LORIENT,public,442,97,0,88,1,64,-5,,,,338,,,104,,,,,,,,98,,,92,,,,,,,,0,,,-2,,,,,439,458,453,94,98,0,0,,,,72,,,39,,,,,,,,-5,,,-4,,,,,6,46,72,119,,,6,35
1018,2024,0561607T,LYCEE VICTOR HUGO,53,BRETAGNE,RENNES,56,MORBIHAN,56083,HENNEBONT,public,281,99,1,87,0,62,-5,,,,231,,,50,,,,,,,,99,,,96,,,,,,,,1,,,1,,,,,318,306,243,98,100,3,2,,,,65,,,52,,,,,,,,-6,,,6,,,,,1,14,50,84,,1,7,18
440,2024,0290062K,LYCEE RENE LAENNEC,53,BRETAGNE,RENNES,29,FINISTERE,29220,PONT L ABBE,public,212,99,2,87,0,67,2,,,,146,,,66,,,,,,,,99,,,100,,,,,,,,1,,,5,,,,,178,197,194,95,100,1,3,,,,74,,,50,,,,,,,,1,,,2,,,,,,15,42,51,,1,7,25
634,2024,0350778F,LYCEE ASSOMPTION,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,306,100,1,88,-2,83,0,,,,306,,,,,,,,,,,100,,,,,,,,,,,1,,,,,,,,440,332,267,96,99,0,0,,,,83,,,,,,,,,,,0,,,,,,,,4,38,122,90,,,,
640,2024,0350797B,LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,147,100,2,88,1,59,-7,,,,,,,147,,,,,,,,,,,100,,,,,,,,,,,2,,,,,76,133,153,96,99,2,1,,,,,,,59,,,,,,,,,,,-7,,,,,,,,,,2,23,61
653,2024,0352686E,LYCEE ANITA CONTI,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35047,BRUZ,public,291,97,-1,89,1,60,-9,,,,229,,,62,,,,,,,,97,,,94,,,,,,,,-2,,,0,,,,,373,285,295,96,99,1,1,,,,68,,,32,,,,,,,,-8,,,-11,,,,,1,17,49,89,,,3,17
655,2024,0352950S,LYCEE SIMONE VEIL,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35152,LIFFRE,public,379,99,1,87,-1,78,6,,,,303,,,76,,,,,,,,99,,,99,,,,,,,,0,,,3,,,,,449,373,328,95,99,0,1,,,,82,,,61,,,,,,,,5,,,10,,,,,6,43,98,102,,,17,29
346,2024,0220110A,LYCEE ST CHARLES,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,privé sous contrat,137,99,0,86,-4,83,3,,,,137,,,,,,,,,,,99,,,,,,,,,,,0,,,,,,,,169,123,160,96,99,0,0,,,,83,,,,,,,,,,,3,,,,,,,,3,24,41,46,,,,
452,2024,0290170C,LYCEE LE LIKES - LA SALLE - QUIMPER,53,BRETAGNE,RENNES,29,FINISTERE,29232,QUIMPER,privé sous contrat,478,100,2,87,-2,85,12,,,,302,57,,119,,,,,,,,100,100,,98,,,,,,,,1,4,,1,,,,,452,489,450,96,98,1,0,,,,92,81,,70,,,,,,,,9,26,,14,,,,,3,43,126,107,,1,43,85
647,2024,0352235P,LYCEE RENE CASSIN,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35188,MONTFORT SUR MEU,public,332,98,0,86,-1,67,-2,,,,223,,,109,,,,,,,,99,,,97,,,,,,,,0,,,1,,,,,366,273,274,95,100,0,2,,,,78,,,45,,,,,,,,-1,,,-5,,,,,,18,70,85,,1,12,36
438,2024,0290044R,LYCEE DE L'ELORN (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29103,LANDERNEAU,public,308,98,0,86,-2,72,2,,,,191,49,,68,,,,,,,,98,100,,96,,,,,,,,-1,3,,-1,,,,,289,312,293,93,97,-2,-1,,,,79,76,,50,,,,,,,,1,13,,-4,,,,,2,17,58,73,,4,17,50
332,2024,0220018A,LYCEE AUGUSTE PAVIE,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22070,GUINGAMP,public,234,99,2,86,-1,64,3,,,,167,,,67,,,,,,,,100,,,97,,,,,,,,2,,,2,,,,,313,259,232,93,97,-1,0,,,,72,,,45,,,,,,,,5,,,0,,,,,1,18,39,62,,1,7,22
349,2024,0220196U,LYCEE HENRI AVRIL (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,22,COTES D'ARMOR,22093,LAMBALLE,public,249,98,1,90,3,63,0,,,,182,,,67,,,,,,,,98,,,99,,,,,,,,0,,,5,,,,,252,235,267,97,99,3,2,,,,68,,,48,,,,,,,,-3,,,5,,,,,2,16,41,65,,,5,27
1021,2024,0561698S,LYCEE JEAN MACE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56098,LANESTER,public,163,98,1,80,-8,64,-1,,,,143,,,,20,,,,,,,99,,,,90,,,,,,,2,,,,-6,,,,184,147,167,89,98,-5,1,,,,66,,,,55,,,,,,,0,,,,-8,,,,5,15,28,46,,1,4,6
339,2024,0220065B,LYCEE JOSEPH SAVINA,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22362,TREGUIER,public,142,95,-2,85,-2,73,7,,,,89,,31,22,,,,,,,,98,,100,77,,,,,,,,2,,1,-18,,,,,147,145,146,92,97,-2,-1,,,,74,,90,41,,,,,,,,11,,1,-7,,,,,1,8,24,33,,6,15,16
338,2024,0220060W,LYCEE EUGENE FREYSSINET,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,public,265,98,1,80,-8,65,-1,,,,226,39,,,,,,,,,,98,97,,,,,,,,,,0,3,,,,,,,276,257,188,91,98,-4,0,,,,65,64,,,,,,,,,,-4,13,,,,,,,5,26,51,66,,2,5,18
344,2024,0220106W,LYCEE JEAN XXIII,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22262,QUINTIN,privé sous contrat,107,99,1,79,-9,73,0,,,,100,,,,7,,,,,,,99,,,,100,,,,,,,1,,,,,,,,126,91,100,92,98,-3,0,,,,72,,,,86,,,,,,,-1,,,,,,,,2,10,18,42,,2,2,2
448,2024,0290159R,LYCEE ST SEBASTIEN,53,BRETAGNE,RENNES,29,FINISTERE,29103,LANDERNEAU,privé sous contrat,143,100,2,89,1,76,8,,,,96,19,,28,,,,,,,,100,100,,100,,,,,,,,2,5,,2,,,,,198,164,212,98,99,3,1,,,,81,74,,61,,,,,,,,7,22,,2,,,,,4,9,29,36,,,9,22
455,2024,0290177K,LYCEE ND DU KREISKER,53,BRETAGNE,RENNES,29,FINISTERE,29259,SAINT POL DE LEON,privé sous contrat,246,98,1,89,2,66,1,,,,146,,,57,10,33,,,,,,100,,,95,100,94,,,,,,2,,,0,7,-3,,,231,242,251,96,98,2,1,,,,76,,,46,60,61,,,,,,2,,,-2,-4,3,,,,13,44,54,,2,13,37
622,2024,0350026N,LYCEE JEAN MACE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,325,95,-3,87,0,66,-5,,,,239,,,86,,,,,,,,100,,,81,,,,,,,,1,,,-13,,,,,349,331,316,93,96,-2,-2,,,,77,,,35,,,,,,,,-2,,,-12,,,,,8,37,58,81,,2,10,18
625,2024,0350030T,LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,148,98,2,78,-7,66,3,,,,91,57,,,,,,,,,,100,95,,,,,,,,,,1,3,,,,,,,137,156,153,90,98,-3,1,,,,76,49,,,,,,,,,,0,6,,,,,,,2,11,27,29,,1,6,21
1006,2024,0560096A,LYCEE STE JEANNE D'ARC (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56066,GOURIN,privé sous contrat,37,97,,81,,59,,,,,29,,,8,,,,,,,,97,,,100,,,,,,,,,,,,,,,,38,35,49,97,97,,,,,,69,,,25,,,,,,,,,,,,,,,,,2,9,9,,,,2
1011,2024,0560117Y,LYCEE ST PAUL,53,BRETAGNE,RENNES,56,MORBIHAN,56260,VANNES,privé sous contrat,610,100,1,92,2,77,-1,,,,506,,,104,,,,,,,,100,,,99,,,,,,,,1,,,1,,,,,541,596,523,98,99,2,0,,,,81,,,55,,,,,,,,-1,,,-4,,,,,12,74,159,167,,2,13,42
1016,2024,0560200N,LYCEE NOTRE DAME LE MENIMUR (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56260,VANNES LE PRAT,privé sous contrat,247,100,3,85,-1,60,1,,,,57,,,83,,107,,,,,,100,,,100,,99,,,,,,2,,,5,,2,,,225,288,257,92,99,-1,3,,,,75,,,46,,64,,,,,,4,,,-2,,4,,,,2,12,29,1,5,32,68
347,2024,0220111B,LYCEE ST PIERRE,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,privé sous contrat,143,99,0,81,-8,82,6,,,,126,,,,,17,,,,,,100,,,,,94,,,,,,1,,,,,-3,,,184,134,138,92,99,-4,0,,,,83,,,,,71,,,,,,4,,,,,13,,,3,14,44,44,,1,4,7
432,2024,0290012F,LYCEE VAUBAN (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,public,175,99,2,84,-1,66,-3,,,,26,78,30,,41,,,,,,,100,100,100,,95,,,,,,,1,4,0,,-2,,,,167,150,169,95,99,1,2,,,,85,51,100,,56,,,,,,,5,-5,5,,-10,,,,,2,8,12,1,16,27,49
456,2024,0290181P,LYCEE JAVOUHEY,53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,privé sous contrat,156,99,1,85,-2,71,2,,,,119,,,37,,,,,,,,100,,,97,,,,,,,,2,,,1,,,,,118,126,124,96,100,1,2,,,,77,,,49,,,,,,,,4,,,-5,,,,,,11,30,51,,,3,15
463,2024,0290340M,LYCEE FENELON (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,privé sous contrat,117,99,1,91,4,67,3,,,,,,,,,97,20,,,,,,,,,,99,100,,,,,,,,,,2,1,,74,108,101,95,98,1,1,,,,,,,,,60,100,,,,,,,,,,1,9,,,,,,1,7,26,44
623,2024,0350028R,LYCEE BREQUIGNY,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,public,709,94,-2,86,0,61,-4,,,,385,67,32,96,32,97,,,,,,98,81,97,91,91,94,,,,,,0,-9,-3,-1,-2,-2,,,588,707,738,91,96,-2,-1,,,,71,36,97,35,69,53,,,,,,-3,-11,6,-5,7,-3,,,2,39,93,140,1,14,51,96
626,2024,0350042F,LYCEE MAUPERTUIS,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35288,SAINT MALO,public,129,96,1,74,-10,43,-13,,,,26,33,,,12,58,,,,,,100,97,,,100,93,,,,,,3,3,,,5,-2,,,113,162,121,85,93,-7,-2,,,,42,39,,,33,47,,,,,,-27,-8,,,-32,-7,,,,2,5,4,2,2,10,30
1020,2024,0561641E,LYCEE MARCELLIN BERTHELOT (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56184,QUESTEMBERT,public,128,95,-1,89,3,63,4,,,,97,17,,14,,,,,,,,97,94,,86,,,,,,,,0,0,,-8,,,,,158,131,136,95,97,2,0,,,,67,53,,50,,,,,,,,3,10,,8,,,,,,8,22,35,,,8,8
335,2024,0220056S,LYCEE FRANCOIS RABELAIS,53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,public,261,96,-1,77,-10,62,-3,,,,192,,,69,,,,,,,,96,,,96,,,,,,,,-2,,,3,,,,,281,275,260,90,96,-5,-2,,,,71,,,36,,,,,,,,-2,,,-6,,,,,3,26,39,69,,,4,21
451,2024,0290168A,LYCEE ST GABRIEL (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29220,PONT L ABBE,privé sous contrat,75,100,2,88,0,88,13,,,,75,,,,,,,,,,,100,,,,,,,,,,,2,,,,,,,,90,59,60,98,100,2,1,,,,88,,,,,,,,,,,13,,,,,,,,3,9,20,34,,,,
1004,2024,0560038M,LYCEE JOSEPH LOTH,53,BRETAGNE,RENNES,56,MORBIHAN,56178,PONTIVY,public,265,97,1,80,-6,62,2,,,,191,,,74,,,,,,,,97,,,97,,,,,,,,0,,,3,,,,,274,251,235,92,98,-2,1,,,,66,,,51,,,,,,,,-1,,,11,,,,,3,15,43,66,,,10,28
1017,2024,0561534N,LYCEE BENJAMIN FRANKLIN,53,BRETAGNE,RENNES,56,MORBIHAN,56007,AURAY,public,404,98,0,83,-4,64,-5,,,,317,,,87,,,,,,,,100,,,91,,,,,,,,2,,,-4,,,,,510,410,357,94,97,-1,-1,,,,71,,,40,,,,,,,,-4,,,-7,,,,,2,27,90,106,,1,4,30
434,2024,0290022S,LYCEE PAUL SERUSIER (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29024,CARHAIX PLOUGUER,public,138,95,-1,83,-3,59,-1,,,,89,14,,35,,,,,,,,96,100,,91,,,,,,,,-2,7,,-3,,,,,115,106,110,92,95,-2,-2,,,,63,71,,43,,,,,,,,-6,18,,4,,,,,,9,26,21,,1,8,16
337,2024,0220058U,LYCEE CHAPTAL (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,public,76,99,3,85,1,72,8,,,,24,36,,,16,,,,,,,100,97,,,100,,,,,,,2,2,,,3,,,,61,70,96,93,99,0,2,,,,88,67,,,62,,,,,,,20,10,,,-11,,,,,2,6,13,,1,10,23
443,2024,0290071V,LYCEE YVES THEPOT (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29232,QUIMPER,public,119,98,3,84,1,67,11,,,,28,91,,,,,,,,,,100,98,,,,,,,,,,4,3,,,,,,,64,127,93,90,99,-2,4,,,,71,66,,,,,,,,,,8,12,,,,,,,,4,7,9,,3,18,39
334,2024,0220027K,LYCEE FULGENCE BIENVENUE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,22,COTES D'ARMOR,22136,LOUDEAC,public,151,96,0,87,1,60,-1,,,,93,9,,49,,,,,,,,96,100,,96,,,,,,,,-2,,,3,,,,,141,142,145,90,97,-3,0,,,,70,56,,43,,,,,,,,-2,,,1,,,,,,3,23,39,,2,4,20
453,2024,0290171D,LYCEE STE THERESE,53,BRETAGNE,RENNES,29,FINISTERE,29232,QUIMPER,privé sous contrat,217,100,2,87,-1,71,0,,,,158,,,59,,,,,,,,100,,,98,,,,,,,,1,,,1,,,,,261,185,179,93,98,-2,0,,,,77,,,56,,,,,,,,0,,,3,,,,,2,16,41,62,,,12,21
460,2024,0290335G,LYCEE LA CROIX ROUGE LA SALLE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,29,FINISTERE,29019,BREST,privé sous contrat,475,100,2,93,5,80,8,,,,273,79,,123,,,,,,,,100,100,,100,,,,,,,,1,3,,4,,,,,442,489,434,98,100,3,2,,,,89,86,,54,,,,,,,,7,20,,1,,,,,6,46,98,94,,4,37,93
627,2024,0350048M,LYCEE JACQUES CARTIER (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35288,SAINT MALO,public,331,96,-1,88,0,59,-8,,,,247,,,84,,,,,,,,99,,,88,,,,,,,,1,,,-7,,,,,327,308,307,94,97,-1,-1,,,,69,,,29,,,,,,,,-5,,,-18,,,,,,22,50,98,,,5,19
